Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000211677	IGLC2	-Inf	12.637
ENSG00000185686	PRAME	-293.159	12.018
ENSG00000211666	IGLV2-14	-77.847	10.139
ENSG00000093009	CDC45	-95.522	10.015
ENSG00000211679	IGLC3	-51.148	9.172
ENSG00000133454	MYO18B	-37.285	8.818
ENSG00000280623	PCAT14	-87.793	7.894
ENSG00000075275	CELSR1	-96.310	7.348
ENSG00000099937	SERPIND1	-76.041	6.251
ENSG00000075218	GTSE1	-67.137	5.454
ENSG00000100351	GRAP2	-27.620	5.371
ENSG00000100196	KDELR3	-38.221	5.024
ENSG00000128342	LIF	-66.182	4.878
ENSG00000183765	CHEK2	-37.734	4.661
ENSG00000128165	ADM2	-14.927	4.571
ENSG00000100162	CENPM	-23.457	4.405
ENSG00000272872	LL22NC03-N14H11.1	-19.591	4.260
ENSG00000099953	MMP11	-14.705	4.155
ENSG00000206195	DUXAP8	-68.026	4.066
ENSG00000099958	DERL3	-26.005	3.996
ENSG00000100065	CARD10	-34.371	3.716
ENSG00000244509	APOBEC3C	-29.833	3.670
ENSG00000128340	RAC2	-38.705	3.209
ENSG00000100297	MCM5	-90.525	3.192
ENSG00000100368	CSF2RB	-16.940	3.145
ENSG00000100342	APOL1	-26.950	2.918
ENSG00000133466	C1QTNF6	-27.543	2.840
ENSG00000100219	XBP1	-182.341	2.824
ENSG00000100300	TSPO	-37.500	2.658
ENSG00000100060	MFNG	-13.568	2.645
ENSG00000244486	SCARF2	-9.433	2.548
ENSG00000100344	PNPLA3	-9.836	2.497
ERCC-00004	ERCC-00004	-Inf	2.435
ERCC-00062	ERCC-00062	-22.468	2.400
ENSG00000100031	GGT1	-18.556	2.400
ENSG00000100097	LGALS1	-121.656	2.339
ENSG00000099901	RANBP1	-115.564	2.295
ERCC-00092	ERCC-00092	-68.127	2.290
ERCC-00136	ERCC-00136	-295.401	2.251
ERCC-00108	ERCC-00108	-120.009	2.244
ERCC-00116	ERCC-00116	-84.293	2.104
ERCC-00130	ERCC-00130	-Inf	2.102
ENSG00000169635	HIC2	-26.765	2.010
ENSG00000100181	TPTEP1	-22.603	1.974
ERCC-00095	ERCC-00095	-31.869	1.963
ENSG00000128228	SDF2L1	-10.038	1.944
ENSG00000239900	ADSL	-50.408	1.931
ENSG00000161179	YDJC	-22.390	1.889
ENSG00000100353	EIF3D	-86.937	1.889
ENSG00000100075	SLC25A1	-28.518	1.844
ERCC-00131	ERCC-00131	-22.363	1.803
ENSG00000100292	HMOX1	-14.303	1.778
ENSG00000138867	GUCD1	-43.153	1.766
ENSG00000100106	TRIOBP	-21.241	1.721
ENSG00000100345	MYH9	-137.735	1.645
ENSG00000221963	APOL6	-38.255	1.606
ENSG00000100316	RPL3	-153.261	1.590
ENSG00000100426	ZBED4	-22.108	1.528
ENSG00000170638	TRABD	-14.981	1.413
ENSG00000130489	SCO2	-4.993	1.359
ENSG00000099977	DDT	-7.090	1.325
ENSG00000100092	SH3BP1	-7.610	1.316
ENSG00000128311	TST	-8.071	1.316
ENSG00000075234	TTC38	-10.393	1.304
ENSG00000198951	NAGA	-11.861	1.289
ENSG00000100304	TTLL12	-23.563	1.278
ENSG00000196236	XPNPEP3	-17.262	1.276
ENSG00000100029	PES1	-25.307	1.264
ENSG00000100410	PHF5A	-8.281	1.249
ENSG00000100038	TOP3B	-13.904	1.245
ENSG00000183963	SMTN	-11.431	1.244
ENSG00000069998	CECR5	-8.989	1.237
ENSG00000070010	UFD1L	-21.327	1.232
ENSG00000128272	ATF4	-75.935	1.214
ENSG00000100325	ASCC2	-12.239	1.207
ENSG00000128309	MPST	-10.363	1.157
ENSG00000240972	MIF	-11.077	1.135
ENSG00000159873	CCDC117	-15.816	1.090
ENSG00000100028	SNRPD3	-22.324	1.079
ENSG00000196419	XRCC6	-71.780	1.072
ENSG00000169184	MN1	-7.035	1.047
ENSG00000100023	PPIL2	-13.380	1.026
ENSG00000185022	MAFF	-6.553	0.997
ENSG00000185838	GNB1L	-3.145	0.963
ENSG00000100372	SLC25A17	-7.934	0.960
ENSG00000128191	DGCR8	-17.341	0.951
ENSG00000185608	MRPL40	-7.396	0.946
ENSG00000242247	ARFGAP3	-9.698	0.924
ENSG00000100234	TIMP3	-32.407	0.920
ENSG00000100129	EIF3L	-31.668	0.917
ENSG00000184949	FAM227A	-2.073	0.908
ENSG00000100347	SAMM50	-6.966	0.900
ENSG00000077942	FBLN1	-7.259	0.869
ENSG00000099992	TBC1D10A	-2.597	0.869
ENSG00000100216	TOMM22	-9.457	0.858
ENSG00000100281	HMGXB4	-5.352	0.792
ENSG00000198355	PIM3	-6.731	0.750
ENSG00000100084	HIRA	-2.564	0.736
ENSG00000185252	ZNF74	-5.171	0.705
ENSG00000099899	TRMT2A	-4.380	0.704
ENSG00000100258	LMF2	-5.857	0.687
ENSG00000182944	EWSR1	-17.824	0.683
ENSG00000093000	NUP50	-12.662	0.672
ENSG00000274602	PI4KAP1	-1.513	0.637
ENSG00000100225	FBXO7	-7.775	0.627
ENSG00000100243	CYB5R3	-10.093	0.618
ENSG00000070371	CLTCL1	-2.996	0.616
ENSG00000183506	PI4KAP2	-3.062	0.615
ENSG00000185339	TCN2	-2.266	0.608
ENSG00000100058	CRYBB2P1	-1.866	0.607
ENSG00000100263	RHBDD3	-2.735	0.591
ENSG00000184117	NIPSNAP1	-7.948	0.582
ENSG00000099956	SMARCB1	-4.775	0.565
ENSG00000253352	TUG1	-11.460	0.554
ENSG00000100105	PATZ1	-4.190	0.550
ENSG00000099940	SNAP29	-3.304	0.530
ENSG00000015475	BID	-2.523	0.510
ENSG00000100335	MIEF1	-4.686	0.505
ENSG00000025770	NCAPH2	-4.380	0.500
ENSG00000099917	MED15	-4.978	0.490
ENSG00000184436	THAP7	-2.458	0.477
ENSG00000100139	MICALL1	-2.996	0.470
ENSG00000188677	PARVB	-3.659	0.463
ENSG00000100416	TRMU	-3.092	0.460
ENSG00000100220	RTCB	-3.984	0.450
ERCC-00060	ERCC-00060	-3.941	0.423
ENSG00000100296	THOC5	-1.884	0.390
ENSG00000213923	CSNK1E	-4.297	0.386
ENSG00000186951	PPARA	-2.545	0.386
ENSG00000100034	PPM1F	-3.346	0.373
ENSG00000100083	GGA1	-3.543	0.357
ERCC-00042	ERCC-00042	-5.619	0.351
ENSG00000100266	PACSIN2	-3.084	0.335
ENSG00000093010	COMT	-1.820	0.315
ENSG00000099949	LZTR1	-1.994	0.279
ENSG00000100380	ST13	-4.125	0.274
ENSG00000185721	DRG1	-1.547	0.259
ENSG00000185651	UBE2L3	-2.249	0.235
ENSG00000215012	C22orf29	-1.502	0.230
ENSG00000099942	CRKL	-2.076	0.175
ERCC-00009	ERCC-00009	-1.692	0.154
ERCC-00096	ERCC-00096	-3.214	0.120
ERCC-00074	ERCC-00074	-7.723	-0.294
ENSG00000100393	EP300	-3.412	-0.324
ENSG00000100280	AP1B1	-4.163	-0.333
ENSG00000100360	IFT27	-1.435	-0.338
ENSG00000215193	PEX26	-3.216	-0.367
ERCC-00145	ERCC-00145	-9.144	-0.427
ENSG00000100359	SGSM3	-4.036	-0.433
ERCC-00113	ERCC-00113	-20.703	-0.446
ENSG00000198089	SFI1	-2.883	-0.454
ENSG00000100413	POLR3H	-3.489	-0.464
ERCC-00044	ERCC-00044	-4.240	-0.473
ENSG00000100299	ARSA	-2.075	-0.495
ERCC-00111	ERCC-00111	-12.095	-0.501
ENSG00000099904	ZDHHC8	-3.347	-0.519
ENSG00000100422	CERK	-8.022	-0.539
ENSG00000100150	DEPDC5	-3.277	-0.562
ERCC-00084	ERCC-00084	-2.071	-0.565
ENSG00000250479	CHCHD10	-2.637	-0.577
ERCC-00043	ERCC-00043	-25.914	-0.582
ENSG00000100324	TAB1	-3.009	-0.583
ENSG00000197077	KIAA1671	-7.867	-0.593
ENSG00000100246	DNAL4	-1.673	-0.594
ENSG00000184381	PLA2G6	-3.525	-0.597
ENSG00000100417	PMM1	-2.049	-0.603
ERCC-00046	ERCC-00046	-23.866	-0.606
ENSG00000100418	DESI1	-7.868	-0.612
ERCC-00022	ERCC-00022	-7.684	-0.616
ENSG00000188636	LDOC1L	-7.600	-0.632
ENSG00000099954	CECR2	-3.778	-0.634
ERCC-00079	ERCC-00079	-2.596	-0.652
ERCC-00003	ERCC-00003	-30.472	-0.673
ENSG00000183579	ZNRF3	-5.540	-0.677
ENSG00000128335	APOL2	-7.729	-0.685
ENSG00000186716	BCR	-12.420	-0.717
